A01,dbgi_007463_01
B01,dbgi_007435_01
C01,dbgi_003218_01
D01,dbgi_007356_01
E01,dbgi_007451_01
F01,dbgi_007358_01
G01,dbgi_007466_01
H01,dbgi_007359_01
A02,dbgi_007412_01
B02,dbgi_003127_01
C02,dbgi_007376_01
D02,dbgi_003128_01
E02,dbgi_007471_02
F02,dbgi_007316_01
G02,dbgi_007431_01
H02,dbgi_007389_01
A03,dbgi_003137_01
B03,dbgi_007314_01
C03,dbgi_003158_01
D03,dbgi_003172_01
E03,dbgi_007364_01
F03,dbgi_007470_01
G03,dbgi_007490_01
H03,dbgi_007552_01
A04,dbgi_007454_01
B04,dbgi_007297_01
C04,dbgi_002838_01
D04,dbgi_007459_01
E04,dbgi_007461_01
F04,dbgi_003146_01
G04,dbgi_007288_01
H04,dbgi_007408_01
A05,dbgi_007469_01
B05,blk_000043
C05,dbgi_007352_01
D05,dbgi_007542_01
E05,dbgi_007443_01
F05,dbgi_007484_01
G05,dbgi_007453_01
H05,dbgi_007367_01
A06,dbgi_007392_01
B06,dbgi_007483_01
C06,dbgi_007413_01
D06,dbgi_007415_01
E06,dbgi_007424_01
F06,dbgi_007402_01
G06,dbgi_007357_01
H06,dbgi_007460_01
A07,dbgi_003205_01
B07,dbgi_007406_07
C07,dbgi_003199_01
D07,dbgi_007542_01
E07,dbgi_007485_01
F07,dbgi_007346_01
G07,dbgi_007379_01
H07,dbgi_007430_01
A08,dbgi_007290_01
B08,dbgi_007397_01
C08,dbgi_007371_01
D08,dbgi_007462_01
E08,dbgi_007365_01
F08,dbgi_007306_01
G08,dbgi_007478_01
H08,dbgi_007377_01
A09,dbgi_007395_01
B09,dbgi_007378_01
C09,dbgi_007381_01
D09,dbgi_007400_01
E09,dbgi_007493_01
F09,dbgi_003076_01
G09,dbgi_007287_01
H09,dbgi_007340_01
A10,dbgi_007456_01
B10,dbgi_003085_01
C10,dbgi_007361_01
D10,dbgi_007373_01
E10,dbgi_007421_01
F10,dbgi_007380_01
G10,dbgi_007374_01
H10,dbgi_007468_01
A11,dbgi_007296_01
B11,dbgi_007272_01
C11,dbgi_007193_01
D11,dbgi_003097_01
E11,dbgi_007432_01
F11,dbgi_007197_01
G11,dbgi_003221_01
H11,dbgi_007258_01
A12,dbgi_007239_01
B12,dbgi_007409_01
C12,dbgi_007224_01
D12,dbgi_007198_01
E12,dbgi_007252_01
F12,dbgi_007205_01
G12,dbgi_007244_01
H12,dbgi_003161_01
