Position,SampleID,ScannerResult,Status
A01,dbgi_002535_01,AL11867722,ok
B01,dbgi_002528_01,AL11867734,ok
C01,dbgi_002595_01,AL11867746,ok
D01,dbgi_002515_01,AL11867758,ok
E01,dbgi_002351_01,AL11867770,ok
F01,dbgi_002270_01,AL11867782,ok
G01,dbgi_002434_01,AL11867794,ok
H01,dbgi_001871_01,AL11867806,ok
A02,dbgi_002455_01,AL11867723,ok
B02,dbgi_002712_01,AL11867735,ok
C02,dbgi_002514_01,AL11867747,ok
D02,dbgi_002492_01,AL11867759,ok
E02,dbgi_001826_01,AL11867771,ok
F02,dbgi_002249_01,AL11867783,ok
G02,dbgi_002472_01,AL11867795,ok
H02,dbgi_001792_01,AL11867807,ok
A03,dbgi_002471_01,AL11867724,ok
B03,dbgi_002711_01,AL11867736,ok
C03,dbgi_002714_01,AL11867748,ok
D03,dbgi_002709_01,AL11867760,ok
E03,dbgi_002414_01,AL11867772,ok
F03,dbgi_002422_01,AL11867784,ok
G03,dbgi_002463_01,AL11867796,ok
H03,dbgi_001210_01,AL11867808,ok
A04,dbgi_002583_01,AL11867725,ok
B04,dbgi_002605_01,AL11867737,ok
C04,dbgi_002531_01,AL11867749,ok
D04,dbgi_002576_01,AL11867761,ok
E04,dbgi_002499_01,AL11867773,ok
F04,dbgi_002537_01,AL11867785,ok
G04,dbgi_002488_01,AL11867797,ok
H04,dbgi_001783_01,AL11867809,ok
A05,dbgi_batch_blk_000012,AL11867726,ok
B05,dbgi_001769_01,AL11867738,ok
C05,dbgi_001891_01,AL11867750,ok
D05,dbgi_001872_01,AL11867762,ok
E05,dbgi_003026_01,AL11867774,ok
F05,dbgi_002602_01,AL11867786,ok
G05,dbgi_001192_01,AL11867798,ok
H05,dbgi_002551_01,AL11867810,ok
A06,dbgi_002955_01,AL11867727,ok
B06,dbgi_003028_01,AL11867739,ok
C06,dbgi_002738_01,AL11867751,ok
D06,dbgi_001864_01,AL11867763,ok
E06,dbgi_batch_blk_000004,AL11867775,ok
F06,dbgi_001816_01,AL11867787,ok
G06,dbgi_003019_01,AL11867799,ok
H06,dbgi_002465_01,AL11867811,ok
A07,dbgi_001765_01,AL11867728,ok
B07,dbgi_003054_01,AL11867740,ok
C07,dbgi_003055_01,AL11867752,ok
D07,dbgi_002567_01,AL11867764,ok
E07,dbgi_002674_01,AL11867776,ok
F07,dbgi_002994_01,AL11867788,ok
G07,dbgi_002726_01,AL11867800,ok
H07,dbgi_001751_01,AL11867812,ok
A08,dbgi_002934_01,AL11867729,ok
B08,dbgi_001881_01,AL11867741,ok
C08,dbgi_002705_01,AL11867753,ok
D08,dbgi_003060_01,AL11867765,ok
E08,dbgi_002746_01,AL11867777,ok
F08,dbgi_003008_01,AL11867789,ok
G08,dbgi_002619_01,AL11867801,ok
H08,dbgi_002929_01,AL11867813,ok
A09,dbgi_001878_01,AL11867730,ok
B09,dbgi_001795_01,AL11867742,ok
C09,dbgi_002382_01,AL11867754,ok
D09,dbgi_001887_01,AL11867766,ok
E09,dbgi_002251_01,AL11867778,ok
F09,dbgi_001813_01,AL11867790,ok
G09,dbgi_003031_01,AL11867802,ok
H09,dbgi_002680_01,AL11867814,ok
A10,dbgi_001821_01,AL11867731,ok
B10,dbgi_003065_01,AL11867743,ok
C10,dbgi_001913_01,AL11867755,ok
D10,dbgi_002458_01,AL11867767,ok
E10,dbgi_002339_01,AL11867779,ok
F10,dbgi_001856_01,AL11867791,ok
G10,dbgi_001835_01,AL11867803,ok
H10,dbgi_001784_01,AL11867815,ok
A11,dbgi_002960_01,AL11867732,ok
B11,dbgi_002457_01,AL11867744,ok
C11,dbgi_002355_01,AL11867756,ok
D11,dbgi_001758_01,AL11867768,ok
E11,dbgi_002360_01,AL11867780,ok
F11,dbgi_001833_01,AL11867792,ok
G11,dbgi_002479_01,AL11867804,ok
H11,dbgi_002954_01,AL11867816,ok
A12,dbgi_002363_01,AL11867733,ok
B12,dbgi_001820_01,AL11867745,ok
C12,dbgi_001831_01,AL11867757,ok
D12,dbgi_001936_01,AL11867769,ok
E12,dbgi_002988_01,AL11867781,ok
F12,dbgi_002462_01,AL11867793,ok
G12,dbgi_002999_01,AL11867805,ok
H12,dbgi_001197_01,AL11867817,ok
