A01,vine_000313_01
B01,vine_000198_01
C01,vine_000431_01
D01,vine_000464_01
E01,vine_000315_01
F01,vine_000239_01
G01,vine_000304_01
H01,vine_000136_01
A02,vine_000236_01
B02,vine_000191_01
C02,vine_000217_04
D02,vine_000358_01
E02,vine_000288_01
F02,vine_000343_01
G02,vine_000276_01
H02,vine_000428_01
A03,vine_000331_01
B03,vine_000413_01
C03,vine_000322_01
D03,vine_000483_01
E03,vine_000307_01
F03,vine_000234_01
G03,vine_000295_01
H03,vine_000303_01
A04,vine_000255_01
B04,vine_000298_01
C04,vine_000247_01
D04,vine_000389_01
E04,vine_000290_01
F04,vine_000270_01
G04,vine_000372_01
H04,vine_000243_01
A05,vine_000456_01
B05,vine_000434_01
C05,vine_000241_01
D05,vine_000101_01
E05,vine_000342_01
F05,vine_000226_01
G05,vine_000440_01
H05,vine_000404_01
A06,vine_000177_01
B06,vine_000340_01
C06,vine_000382_01
D06,vine_000175_01
E06,vine_000161_01
F06,vine_000427_01
G06,vine_000221_01
H06,vine_000283_01
A07,vine_000299_01
B07,vine_000470_01
C07,vine_000274_01
D07,vine_000332_01
E07,vine_000253_01
F07,vine_000262_01
G07,vine_000287_01
H07,vine_000302_01
A08,vine_000379_01
B08,vine_000416_01
C08,vine_000291_01
D08,vine_000220_01
E08,vine_000196_01
F08,vine_000425_01
G08,vine_000489_01
H08,blk_000038
A09,vine_000245_01
B09,vine_000325_01
C09,vine_000485_01
D09,vine_000357_01
E09,vine_000278_01
F09,vine_000105_01
G09,vine_000376_01
H09,vine_000166_01
A10,vine_000173_01
B10,vine_000246_01
C10,vine_000268_01
D10,vine_000435_01
E10,vine_000273_01
F10,vine_000132_01
G10,vine_000252_01
H10,vine_000445_01
A11,vine_000248_01
B11,vine_000086_01
C11,vine_000439_01
D11,vine_000388_01
E11,vine_000406_01
F11,vine_000396_01
G11,vine_000263_01
H11,vine_000197_01
A12,vine_000397_01
B12,vine_000498_01
C12,vine_000341_01
D12,vine_000164_01
E12,vine_000484_01
F12,vine_000490_01
G12,vine_000151_01
H12,vine_000106_01
