A01,fibl_000095_02
B01,fibl_000085_02
C01,fibl_000091_02
D01,fibl_000097_02
E01,fibl_000089_02
F01,fibl_000083_02
G01,fibl_000093_02
H01,fibl_000087_02
A02,fibl_000094_01
B02,fibl_000086_01
C02,fibl_000081_01
D02,fibl_000096_01
E02,fibl_000084_01
F02,fibl_000090_01
G02,fibl_000088_01
H02,fibl_000092_01
A03,fibl_000093_03
B03,fibl_000085_03
C03,fibl_000095_03
D03,fibl_000089_03
E03,fibl_000091_03
F03,fibl_000083_03
G03,fibl_000087_03
H03,fibl_000097_03
A04,fibl_000063_01
B04,fibl_000110_01
C04,fibl_000115_01
D04,fibl_000116_01
E04,fibl_000104_01
F04,fibl_000111_01
G04,fibl_000102_01
H04,fibl_000071_01
A05,fibl_000078_01
B05,fibl_000060_01
C05,fibl_000062_01
D05,fibl_000099_01
E05,fibl_000013_01
F05,fibl_000068_01
G05,fibl_000100_01
H05,fibl_000017_01
A06,fibl_000112_01
B06,fibl_000038_01
C06,fibl_000015_01
D06,fibl_000001_01
E06,fibl_000064_01
F06,fibl_000012_01
G06,fibl_000051_01
H06,fibl_000061_01
A07,fibl_000058_01
B07,fibl_000030_01
C07,fibl_000057_01
D07,fibl_000074_01
E07,fibl_000004_01
F07,fibl_000026_01
G07,fibl_000036_01
H07,fibl_000056_01
A08,fibl_000046_01
B08,fibl_000019_01
C08,fibl_000054_01
D08,fibl_000047_01
E08,fibl_000117_01
F08,fibl_000072_01
G08,fibl_000066_01
H08,fibl_000044_01
A09,fibl_000080_01
B09,fibl_000079_01
C09,fibl_000037_01
D09,fibl_000049_01
E09,fibl_000003_01
F09,fibl_000029_01
G09,fibl_000032_01
H09,fibl_000010_01
A10,fibl_000023_01
B10,fibl_000007_01
C10,fibl_000065_01
D10,fibl_000050_01
E10,fibl_000040_01
F10,fibl_000105_01
G10,fibl_000008_01
H10,fibl_000109_01
A11,fibl_000053_01
B11,fibl_000011_01
C11,fibl_000034_01
D11,fibl_000048_01
E11,fibl_000042_01
F11,fibl_000025_01
G11,fibl_000027_01
H11,fibl_000002_01
A12,fibl_000055_01
B12,fibl_000069_01
C12,fibl_000018_01
D12,fibl_000052_01
E12,fibl_000016_01
F12,fibl_000076_01
G12,fibl_000075_01
H12,fibl_000035_01
