A01,dbgi_002240_01
B01,dbgi_002666_01
C01,dbgi_001867_01
D01,dbgi_001837_01
E01,dbgi_001928_01
F01,dbgi_002606_01
G01,dbgi_001838_01
H01,dbgi_002698_01
A02,dbgi_002338_01
B02,dbgi_001857_01
C02,dbgi_002374_01
D02,dbgi_002959_01
E02,dbgi_003039_01
F02,dbgi_002727_01
G02,dbgi_003010_01
H02,dbgi_002635_01
A03,dbgi_002365_01
B03,dbgi_002699_01
C03,dbgi_003013_01
D03,dbgi_002642_01
E03,dbgi_002312_01
F03,dbgi_001862_01
G03,dbgi_002253_01
H03,dbgi_001777_01
A04,dbgi_002359_01
B04,dbgi_001827_01
C04,dbgi_002725_01
D04,dbgi_002648_01
E04,dbgi_002671_01
F04,dbgi_001841_01
G04,dbgi_002643_01
H04,dbgi_003051_01
A05,dbgi_002375_01
B05,dbgi_002661_01
C05,dbgi_003036_01
D05,dbgi_002732_01
E05,dbgi_002690_01
F05,dbgi_003016_01
G05,dbgi_002990_01
H05,dbgi_003050_01
A06,dbgi_003049_01
B06,dbgi_002390_01
C06,dbgi_001935_01
D06,dbgi_002665_01
E06,dbgi_002607_01
F06,dbgi_002543_01
G06,dbgi_001195_01
H06,dbgi_002702_01
A07,dbgi_001788_01
B07,dbgi_003040_01
C07,dbgi_003029_01
D07,dbgi_002972_01
E07,dbgi_002733_01
F07,dbgi_002624_01
G07,dbgi_002433_01
H07,dbgi_002743_01
A08,dbgi_002592_01
B08,dbgi_002693_01
C08,dbgi_001823_01
D08,dbgi_001799_01
E08,dbgi_002652_01
F08,dbgi_002600_01
G08,dbgi_002443_01
H08,dbgi_002715_01
A09,dbgi_001868_01
B09,dbgi_002668_01
C09,dbgi_002505_01
D09,dbgi_002257_01
E09,dbgi_001180_01
F09,dbgi_002977_01
G09,dbgi_001235_01
H09,blk_000026
A10,dbgi_001164_01
B10,dbgi_002691_01
C10,dbgi_001900_01
D10,dbgi_002951_01
E10,dbgi_002682_01
F10,dbgi_002599_01
G10,dbgi_002572_01
H10,dbgi_001232_01
A11,dbgi_001190_01
B11,dbgi_002349_01
C11,dbgi_002939_01
D11,dbgi_002986_01
E11,dbgi_002916_01
F11,dbgi_002373_01
G11,dbgi_001766_01
H11,dbgi_002585_01
A12,dbgi_002406_01
B12,dbgi_001127_01
C12,dbgi_002399_01
D12,dbgi_001902_01
E12,dbgi_001037_01
F12,dbgi_002545_01
G12,dbgi_002525_01
H12,dbgi_002516_01
